sound,target,confused,count,sound_file,target_file,talker,voice_base,condition
k,p,0,190,T05_k3.wav,T05_p3.wav,T05,us1,confusable
k,p,0,190,T06_k3.wav,T06_p3.wav,T06,us1,confusable
k,p,0,190,T07_k3.wav,T07_p3.wav,T07,us2,confusable
k,p,0,190,T08_k3.wav,T08_p3.wav,T08,us2,confusable
k,p,0,190,T09_k3.wav,T09_p3.wav,T09,us2,confusable
k,p,0,190,T10_k3.wav,T10_p3.wav,T10,us3,confusable
k,p,0,190,T11_k3.wav,T11_p3.wav,T11,us3,confusable
k,p,0,190,T12_k3.wav,T12_p3.wav,T12,us3,confusable
k,t,0,127,T01_k3.wav,T01_t3.wav,T01,us1,confusable
k,t,0,127,T02_k3.wav,T02_t3.wav,T02,us1,confusable
k,t,0,127,T03_k3.wav,T03_t3.wav,T03,us1,confusable
k,t,0,127,T04_k3.wav,T04_t3.wav,T04,us1,confusable
k,t,0,127,T05_k3.wav,T05_t3.wav,T05,us1,confusable
k,t,0,127,T06_k3.wav,T06_t3.wav,T06,us1,confusable
k,t,0,127,T07_k3.wav,T07_t3.wav,T07,us2,confusable
k,t,0,127,T08_k3.wav,T08_t3.wav,T08,us2,confusable
k,t,0,127,T09_k3.wav,T09_t3.wav,T09,us2,confusable
k,t,0,127,T10_k3.wav,T10_t3.wav,T10,us3,confusable
k,t,0,127,T11_k3.wav,T11_t3.wav,T11,us3,confusable
k,t,0,127,T12_k3.wav,T12_t3.wav,T12,us3,confusable
k,f,0,17,T01_k3.wav,T01_f3.wav,T01,us1,confusable
k,f,0,17,T02_k3.wav,T02_f3.wav,T02,us1,confusable
k,f,0,17,T03_k3.wav,T03_f3.wav,T03,us1,confusable
k,f,0,17,T04_k3.wav,T04_f3.wav,T04,us1,confusable
k,f,0,17,T05_k3.wav,T05_f3.wav,T05,us1,confusable
k,f,0,17,T06_k3.wav,T06_f3.wav,T06,us1,confusable
k,f,0,17,T07_k3.wav,T07_f3.wav,T07,us2,confusable
k,f,0,17,T08_k3.wav,T08_f3.wav,T08,us2,confusable
k,f,0,17,T09_k3.wav,T09_f3.wav,T09,us2,confusable
k,f,0,17,T10_k3.wav,T10_f3.wav,T10,us3,confusable
k,f,0,17,T11_k3.wav,T11_f3.wav,T11,us3,confusable
k,f,0,17,T12_k3.wav,T12_f3.wav,T12,us3,confusable
k,n,1,3,T01_k3.wav,T01_n3.wav,T01,us1,distinct
k,n,1,3,T02_k3.wav,T02_n3.wav,T02,us1,distinct
k,n,1,3,T03_k3.wav,T03_n3.wav,T03,us1,distinct
k,n,1,3,T04_k3.wav,T04_n3.wav,T04,us1,distinct
k,n,1,3,T05_k3.wav,T05_n3.wav,T05,us1,distinct
k,n,1,3,T06_k3.wav,T06_n3.wav,T06,us1,distinct
k,n,1,3,T07_k3.wav,T07_n3.wav,T07,us2,distinct
k,n,1,3,T08_k3.wav,T08_n3.wav,T08,us2,distinct
k,n,1,3,T09_k3.wav,T09_n3.wav,T09,us2,distinct
k,n,1,3,T10_k3.wav,T10_n3.wav,T10,us3,distinct
k,n,1,3,T11_k3.wav,T11_n3.wav,T11,us3,distinct
k,n,1,3,T12_k3.wav,T12_n3.wav,T12,us3,distinct
k,g,1,1,T01_k3.wav,T01_g3.wav,T01,us1,distinct
k,g,1,1,T02_k3.wav,T02_g3.wav,T02,us1,distinct
k,g,1,1,T03_k3.wav,T03_g3.wav,T03,us1,distinct
k,g,1,1,T04_k3.wav,T04_g3.wav,T04,us1,distinct
k,g,1,1,T05_k3.wav,T05_g3.wav,T05,us1,distinct
k,g,1,1,T06_k3.wav,T06_g3.wav,T06,us1,distinct
