trial,condition,Response,RT,chanel,Acc
T,8,3,0.8168273,nonTT,1
T,0,3,0.6825582,TT,0
T,8,3,0.7676142,nonTT,1
T,4,4,0.949468,nonTT,0
T,12,3,1.3826636,nonTT,1
T,9,3,0.6679639,nonTT,1
T,3,3,0.93458,nonTT,1
T,15,3,0.8003635,nonTT,1
T,1,3,0.8669606,TT,0
T,1,3,1.1152167,TT,0
T,14,3,0.9842951,nonTT,1
T,6,4,0.81826,nonTT,0
T,9,3,0.8160956,nonTT,1
T,5,3,1.383906,nonTT,1
T,12,3,1.2991648,nonTT,1
T,15,4,1.7855763,nonTT,0
T,12,3,1.5356735,nonTT,1
T,4,3,1.3156166,nonTT,1
T,9,3,0.816691,nonTT,1
T,0,3,1.0832183,TT,0
T,3,3,0.9194988,nonTT,1
T,7,3,0.8177001,nonTT,1
T,16,3,1.0178683,nonTT,1
T,0,3,1.4029643,TT,0
T,4,3,0.9012229,nonTT,1
T,1,4,1.1837661,TT,1
T,10,4,1.9651194,nonTT,0
T,17,3,0.8026082,nonTT,1
T,3,3,0.9805682,nonTT,1
T,10,4,1.865646,nonTT,0
T,7,3,0.7371985,nonTT,1
T,12,3,1.0630135,nonTT,1
T,0,3,0.6672239,TT,0
T,8,3,0.4843133,nonTT,1
T,9,3,0.4665742,nonTT,1
T,9,3,0.3668692,nonTT,1
T,4,4,1.4143532,nonTT,0
T,1,3,1.0326582,TT,0
T,0,4,0.8496931,TT,1
T,7,3,0.6820803,nonTT,1
T,12,3,0.7004974,nonTT,1
T,2,3,0.883326,nonTT,1
T,0,3,0.949706,TT,0
T,7,3,0.699881,nonTT,1
T,3,3,0.6013178,nonTT,1
T,10,3,0.7175471,nonTT,1
T,15,3,0.8505464,nonTT,1
T,8,3,0.786518,nonTT,1
T,13,3,1.3837673,nonTT,1
T,1,3,1.8680913,TT,0
T,2,3,1.4496227,nonTT,1
T,8,3,1.3327882,nonTT,1
T,5,3,1.6319459,nonTT,1
T,13,3,1.7504206,nonTT,1
T,7,3,0.7671755,nonTT,1
T,1,3,0.8828763,TT,0
T,14,3,0.9481559,nonTT,1
T,1,4,1.419149,TT,1
T,14,3,1.0987536,nonTT,1
T,10,3,1.0328816,nonTT,1
T,13,3,0.9500069,nonTT,1
T,3,3,1.0504218,nonTT,1
T,11,3,0.6006764,nonTT,1
T,1,4,1.6506373,TT,1
T,1,4,1.0205451,TT,1
T,6,3,0.8010977,nonTT,1
T,17,3,1.615678,nonTT,1
T,5,3,0.9019041,nonTT,1
T,13,4,1.1003835,nonTT,0
T,1,4,1.1664366,TT,1
T,11,3,1.3337947,nonTT,1
T,6,3,1.8011107,nonTT,1
T,14,3,1.1162235,nonTT,1
T,2,3,0.8677419,nonTT,1
T,10,3,0.6643796,nonTT,1
T,5,4,1.0498449,nonTT,0
T,1,3,1.1000277,TT,0
T,7,3,0.6002911,nonTT,1
T,17,3,0.7652186,nonTT,1
