sound,target,confused,count,sound_file,target_file,talker,voice_base,condition
k,p,0,190,aCa/T05/aka.wav,aCa/T05/apa.wav,T05,us1,confusable
k,p,0,190,aCa/T06/aka.wav,aCa/T06/apa.wav,T06,us1,confusable
k,p,0,190,aCa/T07/aka.wav,aCa/T07/apa.wav,T07,us2,confusable
k,p,0,190,aCa/T08/aka.wav,aCa/T08/apa.wav,T08,us2,confusable
k,p,0,190,aCa/T09/aka.wav,aCa/T09/apa.wav,T09,us2,confusable
k,p,0,190,aCa/T10/aka.wav,aCa/T10/apa.wav,T10,us3,confusable
k,p,0,190,aCa/T11/aka.wav,aCa/T11/apa.wav,T11,us3,confusable
k,p,0,190,aCa/T12/aka.wav,aCa/T12/apa.wav,T12,us3,confusable
k,t,0,127,aCa/T01/aka.wav,aCa/T01/ata.wav,T01,us1,confusable
k,t,0,127,aCa/T02/aka.wav,aCa/T02/ata.wav,T02,us1,confusable
k,t,0,127,aCa/T03/aka.wav,aCa/T03/ata.wav,T03,us1,confusable
k,t,0,127,aCa/T04/aka.wav,aCa/T04/ata.wav,T04,us1,confusable
k,t,0,127,aCa/T05/aka.wav,aCa/T05/ata.wav,T05,us1,confusable
k,t,0,127,aCa/T06/aka.wav,aCa/T06/ata.wav,T06,us1,confusable
k,t,0,127,aCa/T07/aka.wav,aCa/T07/ata.wav,T07,us2,confusable
k,t,0,127,aCa/T08/aka.wav,aCa/T08/ata.wav,T08,us2,confusable
k,t,0,127,aCa/T09/aka.wav,aCa/T09/ata.wav,T09,us2,confusable
k,t,0,127,aCa/T10/aka.wav,aCa/T10/ata.wav,T10,us3,confusable
k,t,0,127,aCa/T11/aka.wav,aCa/T11/ata.wav,T11,us3,confusable
k,t,0,127,aCa/T12/aka.wav,aCa/T12/ata.wav,T12,us3,confusable
k,f,0,17,aCa/T01/aka.wav,aCa/T01/afa.wav,T01,us1,confusable
k,f,0,17,aCa/T02/aka.wav,aCa/T02/afa.wav,T02,us1,confusable
k,f,0,17,aCa/T03/aka.wav,aCa/T03/afa.wav,T03,us1,confusable
k,f,0,17,aCa/T04/aka.wav,aCa/T04/afa.wav,T04,us1,confusable
k,f,0,17,aCa/T05/aka.wav,aCa/T05/afa.wav,T05,us1,confusable
k,f,0,17,aCa/T06/aka.wav,aCa/T06/afa.wav,T06,us1,confusable
k,f,0,17,aCa/T07/aka.wav,aCa/T07/afa.wav,T07,us2,confusable
k,f,0,17,aCa/T08/aka.wav,aCa/T08/afa.wav,T08,us2,confusable
k,f,0,17,aCa/T09/aka.wav,aCa/T09/afa.wav,T09,us2,confusable
k,f,0,17,aCa/T10/aka.wav,aCa/T10/afa.wav,T10,us3,confusable
k,f,0,17,aCa/T11/aka.wav,aCa/T11/afa.wav,T11,us3,confusable
k,f,0,17,aCa/T12/aka.wav,aCa/T12/afa.wav,T12,us3,confusable
k,n,1,3,aCa/T01/aka.wav,aCa/T01/ana.wav,T01,us1,distinct
k,n,1,3,aCa/T02/aka.wav,aCa/T02/ana.wav,T02,us1,distinct
k,n,1,3,aCa/T03/aka.wav,aCa/T03/ana.wav,T03,us1,distinct
k,n,1,3,aCa/T04/aka.wav,aCa/T04/ana.wav,T04,us1,distinct
k,n,1,3,aCa/T05/aka.wav,aCa/T05/ana.wav,T05,us1,distinct
k,n,1,3,aCa/T06/aka.wav,aCa/T06/ana.wav,T06,us1,distinct
k,n,1,3,aCa/T07/aka.wav,aCa/T07/ana.wav,T07,us2,distinct
k,n,1,3,aCa/T08/aka.wav,aCa/T08/ana.wav,T08,us2,distinct
k,n,1,3,aCa/T09/aka.wav,aCa/T09/ana.wav,T09,us2,distinct
k,n,1,3,aCa/T10/aka.wav,aCa/T10/ana.wav,T10,us3,distinct
k,n,1,3,aCa/T11/aka.wav,aCa/T11/ana.wav,T11,us3,distinct
k,n,1,3,aCa/T12/aka.wav,aCa/T12/ana.wav,T12,us3,distinct
k,g,1,1,aCa/T01/aka.wav,aCa/T01/aga.wav,T01,us1,distinct
k,g,1,1,aCa/T02/aka.wav,aCa/T02/aga.wav,T02,us1,distinct
k,g,1,1,aCa/T03/aka.wav,aCa/T03/aga.wav,T03,us1,distinct
k,g,1,1,aCa/T04/aka.wav,aCa/T04/aga.wav,T04,us1,distinct
k,g,1,1,aCa/T05/aka.wav,aCa/T05/aga.wav,T05,us1,distinct
k,g,1,1,aCa/T06/aka.wav,aCa/T06/aga.wav,T06,us1,distinct
k,g,1,1,aCa/T07/aka.wav,aCa/T07/aga.wav,T07,us2,distinct
k,g,1,1,aCa/T08/aka.wav,aCa/T08/aga.wav,T08,us2,distinct
k,g,1,1,aCa/T09/aka.wav,aCa/T09/aga.wav,T09,us2,distinct
k,g,1,1,aCa/T10/aka.wav,aCa/T10/aga.wav,T10,us3,distinct
k,g,1,1,aCa/T11/aka.wav,aCa/T11/aga.wav,T11,us3,distinct
k,g,1,1,aCa/T12/aka.wav,aCa/T12/aga.wav,T12,us3,distinct
k,z,1,1,aCa/T01/aka.wav,aCa/T01/aza.wav,T01,us1,distinct
k,z,1,1,aCa/T02/aka.wav,aCa/T02/aza.wav,T02,us1,distinct
k,z,1,1,aCa/T03/aka.wav,aCa/T03/aza.wav,T03,us1,distinct
k,z,1,1,aCa/T04/aka.wav,aCa/T04/aza.wav,T04,us1,distinct
k,z,1,1,aCa/T05/aka.wav,aCa/T05/aza.wav,T05,us1,distinct
k,z,1,1,aCa/T06/aka.wav,aCa/T06/aza.wav,T06,us1,distinct
k,z,1,1,aCa/T07/aka.wav,aCa/T07/aza.wav,T07,us2,distinct
k,z,1,1,aCa/T08/aka.wav,aCa/T08/aza.wav,T08,us2,distinct
k,z,1,1,aCa/T09/aka.wav,aCa/T09/aza.wav,T09,us2,distinct
k,z,1,1,aCa/T10/aka.wav,aCa/T10/aza.wav,T10,us3,distinct
k,z,1,1,aCa/T11/aka.wav,aCa/T11/aza.wav,T11,us3,distinct
k,z,1,1,aCa/T12/aka.wav,aCa/T12/aza.wav,T12,us3,distinct
f,theta,0,151,aCa/T01/afa.wav,aCa/T01/athetaa.wav,T01,us1,confusable
f,theta,0,151,aCa/T02/afa.wav,aCa/T02/athetaa.wav,T02,us1,confusable
f,theta,0,151,aCa/T03/afa.wav,aCa/T03/athetaa.wav,T03,us1,confusable
f,theta,0,151,aCa/T04/afa.wav,aCa/T04/athetaa.wav,T04,us1,confusable
f,theta,0,151,aCa/T05/afa.wav,aCa/T05/athetaa.wav,T05,us1,confusable
f,theta,0,151,aCa/T06/afa.wav,aCa/T06/athetaa.wav,T06,us1,confusable
f,theta,0,151,aCa/T07/afa.wav,aCa/T07/athetaa.wav,T07,us2,confusable
f,theta,0,151,aCa/T08/afa.wav,aCa/T08/athetaa.wav,T08,us2,confusable
f,theta,0,151,aCa/T09/afa.wav,aCa/T09/athetaa.wav,T09,us2,confusable
f,theta,0,151,aCa/T10/afa.wav,aCa/T10/athetaa.wav,T10,us3,confusable
f,theta,0,151,aCa/T11/afa.wav,aCa/T11/athetaa.wav,T11,us3,confusable
f,theta,0,151,aCa/T12/afa.wav,aCa/T12/athetaa.wav,T12,us3,confusable
f,p,0,27,aCa/T01/afa.wav,aCa/T01/apa.wav,T01,us1,confusable
f,p,0,27,aCa/T02/afa.wav,aCa/T02/apa.wav,T02,us1,confusable
f,p,0,27,aCa/T03/afa.wav,aCa/T03/apa.wav,T03,us1,confusable
f,p,0,27,aCa/T04/afa.wav,aCa/T04/apa.wav,T04,us1,confusable
f,p,0,27,aCa/T05/afa.wav,aCa/T05/apa.wav,T05,us1,confusable
f,p,0,27,aCa/T06/afa.wav,aCa/T06/apa.wav,T06,us1,confusable
f,p,0,27,aCa/T07/afa.wav,aCa/T07/apa.wav,T07,us2,confusable
f,p,0,27,aCa/T08/afa.wav,aCa/T08/apa.wav,T08,us2,confusable
f,p,0,27,aCa/T09/afa.wav,aCa/T09/apa.wav,T09,us2,confusable
f,p,0,27,aCa/T10/afa.wav,aCa/T10/apa.wav,T10,us3,confusable
f,p,0,27,aCa/T11/afa.wav,aCa/T11/apa.wav,T11,us3,confusable
f,p,0,27,aCa/T12/afa.wav,aCa/T12/apa.wav,T12,us3,confusable
f,s,0,18,aCa/T01/afa.wav,aCa/T01/asa.wav,T01,us1,confusable
f,s,0,18,aCa/T02/afa.wav,aCa/T02/asa.wav,T02,us1,confusable
f,s,0,18,aCa/T03/afa.wav,aCa/T03/asa.wav,T03,us1,confusable
f,s,0,18,aCa/T04/afa.wav,aCa/T04/asa.wav,T04,us1,confusable
f,s,0,18,aCa/T05/afa.wav,aCa/T05/asa.wav,T05,us1,confusable
f,s,0,18,aCa/T06/afa.wav,aCa/T06/asa.wav,T06,us1,confusable
f,s,0,18,aCa/T07/afa.wav,aCa/T07/asa.wav,T07,us2,confusable
f,s,0,18,aCa/T08/afa.wav,aCa/T08/asa.wav,T08,us2,confusable
f,s,0,18,aCa/T09/afa.wav,aCa/T09/asa.wav,T09,us2,confusable
f,s,0,18,aCa/T10/afa.wav,aCa/T10/asa.wav,T10,us3,confusable
f,s,0,18,aCa/T11/afa.wav,aCa/T11/asa.wav,T11,us3,confusable
f,s,0,18,aCa/T12/afa.wav,aCa/T12/asa.wav,T12,us3,confusable
f,sh,1,1,aCa/T01/afa.wav,aCa/T01/asha.wav,T01,us1,distinct
f,sh,1,1,aCa/T02/afa.wav,aCa/T02/asha.wav,T02,us1,distinct
f,sh,1,1,aCa/T03/afa.wav,aCa/T03/asha.wav,T03,us1,distinct
f,sh,1,1,aCa/T04/afa.wav,aCa/T04/asha.wav,T04,us1,distinct
f,sh,1,1,aCa/T05/afa.wav,aCa/T05/asha.wav,T05,us1,distinct
f,sh,1,1,aCa/T06/afa.wav,aCa/T06/asha.wav,T06,us1,distinct
f,sh,1,1,aCa/T07/afa.wav,aCa/T07/asha.wav,T07,us2,distinct
f,sh,1,1,aCa/T08/afa.wav,aCa/T08/asha.wav,T08,us2,distinct
f,sh,1,1,aCa/T09/afa.wav,aCa/T09/asha.wav,T09,us2,distinct
f,sh,1,1,aCa/T10/afa.wav,aCa/T10/asha.wav,T10,us3,distinct
f,sh,1,1,aCa/T11/afa.wav,aCa/T11/asha.wav,T11,us3,distinct
f,sh,1,1,aCa/T12/afa.wav,aCa/T12/asha.wav,T12,us3,distinct
f,g,1,1,aCa/T01/afa.wav,aCa/T01/aga.wav,T01,us1,distinct
f,g,1,1,aCa/T02/afa.wav,aCa/T02/aga.wav,T02,us1,distinct
f,g,1,1,aCa/T03/afa.wav,aCa/T03/aga.wav,T03,us1,distinct
f,g,1,1,aCa/T04/afa.wav,aCa/T04/aga.wav,T04,us1,distinct
f,g,1,1,aCa/T05/afa.wav,aCa/T05/aga.wav,T05,us1,distinct
f,g,1,1,aCa/T06/afa.wav,aCa/T06/aga.wav,T06,us1,distinct
f,g,1,1,aCa/T07/afa.wav,aCa/T07/aga.wav,T07,us2,distinct
f,g,1,1,aCa/T08/afa.wav,aCa/T08/aga.wav,T08,us2,distinct
f,g,1,1,aCa/T09/afa.wav,aCa/T09/aga.wav,T09,us2,distinct
f,g,1,1,aCa/T10/afa.wav,aCa/T10/aga.wav,T10,us3,distinct
f,g,1,1,aCa/T11/afa.wav,aCa/T11/aga.wav,T11,us3,distinct
f,g,1,1,aCa/T12/afa.wav,aCa/T12/aga.wav,T12,us3,distinct
f,n,1,1,aCa/T01/afa.wav,aCa/T01/ana.wav,T01,us1,distinct
f,n,1,1,aCa/T02/afa.wav,aCa/T02/ana.wav,T02,us1,distinct
f,n,1,1,aCa/T03/afa.wav,aCa/T03/ana.wav,T03,us1,distinct
f,n,1,1,aCa/T04/afa.wav,aCa/T04/ana.wav,T04,us1,distinct
f,n,1,1,aCa/T05/afa.wav,aCa/T05/ana.wav,T05,us1,distinct
f,n,1,1,aCa/T06/afa.wav,aCa/T06/ana.wav,T06,us1,distinct
f,n,1,1,aCa/T07/afa.wav,aCa/T07/ana.wav,T07,us2,distinct
f,n,1,1,aCa/T08/afa.wav,aCa/T08/ana.wav,T08,us2,distinct
f,n,1,1,aCa/T09/afa.wav,aCa/T09/ana.wav,T09,us2,distinct
f,n,1,1,aCa/T10/afa.wav,aCa/T10/ana.wav,T10,us3,distinct
f,n,1,1,aCa/T11/afa.wav,aCa/T11/ana.wav,T11,us3,distinct
f,n,1,1,aCa/T12/afa.wav,aCa/T12/ana.wav,T12,us3,distinct
theta,f,0,260,aCa/T01/athetaa.wav,aCa/T01/afa.wav,T01,us1,confusable
theta,f,0,260,aCa/T02/athetaa.wav,aCa/T02/afa.wav,T02,us1,confusable
theta,f,0,260,aCa/T03/athetaa.wav,aCa/T03/afa.wav,T03,us1,confusable
theta,f,0,260,aCa/T04/athetaa.wav,aCa/T04/afa.wav,T04,us1,confusable
theta,f,0,260,aCa/T05/athetaa.wav,aCa/T05/afa.wav,T05,us1,confusable
theta,f,0,260,aCa/T06/athetaa.wav,aCa/T06/afa.wav,T06,us1,confusable
theta,f,0,260,aCa/T07/athetaa.wav,aCa/T07/afa.wav,T07,us2,confusable
theta,f,0,260,aCa/T08/athetaa.wav,aCa/T08/afa.wav,T08,us2,confusable
theta,f,0,260,aCa/T09/athetaa.wav,aCa/T09/afa.wav,T09,us2,confusable
theta,f,0,260,aCa/T10/athetaa.wav,aCa/T10/afa.wav,T10,us3,confusable
theta,f,0,260,aCa/T11/athetaa.wav,aCa/T11/afa.wav,T11,us3,confusable
theta,f,0,260,aCa/T12/athetaa.wav,aCa/T12/afa.wav,T12,us3,confusable
theta,s,0,45,aCa/T01/athetaa.wav,aCa/T01/asa.wav,T01,us1,confusable
theta,s,0,45,aCa/T02/athetaa.wav,aCa/T02/asa.wav,T02,us1,confusable
theta,s,0,45,aCa/T03/athetaa.wav,aCa/T03/asa.wav,T03,us1,confusable
theta,s,0,45,aCa/T04/athetaa.wav,aCa/T04/asa.wav,T04,us1,confusable
theta,s,0,45,aCa/T05/athetaa.wav,aCa/T05/asa.wav,T05,us1,confusable
theta,s,0,45,aCa/T06/athetaa.wav,aCa/T06/asa.wav,T06,us1,confusable
theta,s,0,45,aCa/T07/athetaa.wav,aCa/T07/asa.wav,T07,us2,confusable
theta,s,0,45,aCa/T08/athetaa.wav,aCa/T08/asa.wav,T08,us2,confusable
theta,s,0,45,aCa/T09/athetaa.wav,aCa/T09/asa.wav,T09,us2,confusable
